Real value,Linear Regression,KNeighbors Regressor,DecisionTreeRegressor,Random Forest,XGBRegressor,Gradient Boosting Regressor,Ada Boost Regressor,Support Vector Regressor
0.77,0.6803586549999414,0.784,0.67,0.7316000000000004,0.7154043316841125,0.8288909312321353,0.7405839416058397,0.816407865781182
0.74,0.5710275295897572,0.742,0.75,0.6970999999999998,0.7356393337249756,0.7671849511697556,0.6598697916666675,0.6536666216948639
0.01,0.21653173075538049,0.018,0.02,0.014900000000000009,0.018844306468963623,0.04227793955079436,0.1933740831295843,0.10315747771598235
0.02,-8.077649811472076e-05,0.012,0.01,0.01154190476190477,0.011452395468950272,-0.013614503546545436,0.17524861878453046,-0.08774775354804226
0.91,0.4274778973583717,0.566,0.48,0.47759999999999975,0.7374287247657776,0.6217512908284165,0.5829847494553375,0.5333668850459512
0.95,0.996591604054089,0.9139999999999999,0.97,0.9466000000000004,0.9565021395683289,0.829840314700185,0.6437662337662335,0.9333578077950753
0.82,0.6594350942670724,0.9,0.89,0.8684999999999999,0.8119869828224182,0.8785818713770872,0.7300387596899226,0.9073246977470588
0.53,0.4725833577092186,0.33,0.53,0.4965000000000004,0.5861075520515442,0.5227795651745349,0.5888442211055277,0.5419127781777939
0.0,0.37241045471969925,0.378,0.0,0.0,-0.011682016775012016,0.05224372956442575,0.1788617886178862,0.4206817270000085
0.52,0.4759624899155869,0.5319999999999999,0.49,0.5277000000000004,0.5150534510612488,0.5451362650108881,0.5939664218258118,0.4750680389401156
0.44,0.44971106018954765,0.524,0.3,0.6095000000000003,0.5127552151679993,0.6262321447325521,0.6089983844911149,0.561952376488764
0.17,0.23598304329618122,0.12,0.15,0.14580000000000015,0.15949836373329163,0.14971853347201539,0.21197802197802196,0.1299358259120142
0.95,0.7007373799478384,0.944,0.98,0.962400000000001,0.9575352668762207,0.8683528614529564,0.658368794326241,0.9614620796760112
0.12,0.3915167932597001,0.084,0.11,0.13080000000000008,0.13984966278076172,0.16934101119487688,0.21090566037735847,0.21582159781128968
0.55,0.6162190172925381,0.548,0.27,0.5449999999999995,0.5237667560577393,0.6360008977876426,0.6199026763990253,0.5310197177719209
0.7,0.7606728838073176,0.754,0.83,0.7837499999999991,0.7082358002662659,0.7497122108339073,0.6773285198555948,0.771655852442073
0.77,0.6224106091359765,0.688,0.74,0.7263000000000001,0.7391657829284668,0.6946095900637527,0.6437662337662335,0.6782193810321274
0.48,0.38099263735635014,0.398,0.44,0.4443,0.45220473408699036,0.44672344257924473,0.5325263157894736,0.3928791676646415
0.56,0.6699727567469352,0.5640000000000001,0.57,0.5752999999999997,0.5619535446166992,0.6499059858628259,0.7159084604715684,0.6166341216424038
0.04,-0.09779420352911583,0.026000000000000002,0.05,0.057999999999999954,0.07117623835802078,0.07856275410254249,0.20029126213592238,0.051934781165591026
0.37,0.45178264157076425,0.388,0.4,0.3947999999999997,0.38120800256729126,0.5253641801900583,0.589856630824375,0.49871075637478646
0.02,-0.13287676132356108,0.022,0.02,0.021300000000000013,0.01812487281858921,0.013839501899063024,0.19186274509803916,-0.06944609021645137
0.0,0.5116635164911204,0.384,0.0,0.0002,-0.014180834405124187,0.030920264655655824,0.19979166666666656,0.44548890713156153
0.02,0.33049034848881964,0.076,0.04,0.04718666666666667,0.04527074098587036,0.2018667061642244,0.2659276018099548,0.21085251026439994
0.03,0.27990289233631915,0.02,0.03,0.03129999999999997,0.04605899006128311,0.11004228828556195,0.21197802197802196,0.029893640170948976
0.33,0.3231768502076871,0.302,0.36,0.36609999999999976,0.360149621963501,0.35738233502203354,0.47998041136141073,0.39040186216982664
0.86,0.5057794212443144,0.6519999999999999,0.7,0.6815000000000009,0.6975857019424438,0.5670962691118888,0.5939664218258118,0.6184270634466946
0.02,-0.11010303177173453,0.015999999999999997,0.02,0.019600000000000013,0.018144741654396057,-0.014383317363875556,0.17820945945945937,-0.07739064691328906
0.03,0.32362258969257207,0.192,0.03,0.03459999999999994,0.015474292449653149,0.07202108108077851,0.21579579579579589,0.0010818634634277569
0.24,0.28715048652406716,0.174,0.26,0.25889999999999996,0.23140573501586914,0.1322932426654129,0.24425149700598806,0.12475279057054739
0.2,0.39138924968212185,0.23399999999999999,0.25,0.2510000000000001,0.24245581030845642,0.2771819115206553,0.3767967145790554,0.2245087338007472
0.25,0.3397644497444111,0.18,0.26,0.39320000000000027,0.3363206386566162,0.4327584248552097,0.5424962178517395,0.2899190658077163
0.03,0.19123088089214912,0.034,0.07,0.10935023809523813,-0.0013757689157500863,0.20675080680024516,0.3059003831417621,0.07435658629264574
0.58,0.6372751638508994,0.6239999999999999,0.54,0.6414000000000002,0.538985013961792,0.6946095900637527,0.6437662337662335,0.6726054036849843
0.87,0.5827347881395673,0.8800000000000001,0.87,0.8840000000000003,0.8519207239151001,0.786449076875658,0.6906271777003476,0.7794936813768951
0.43,0.41959171142864693,0.33999999999999997,0.38,0.4158000000000004,0.4128377139568329,0.516299765239479,0.47998041136141073,0.34892802142931834
0.99,0.9308451498875481,0.938,0.98,0.9598000000000004,0.961470365524292,0.8994830586356225,0.8005737704918031,0.9046701916289865
0.14,0.2918394841490422,0.156,0.15,0.1522733333333335,0.14980442821979523,0.40375319843054475,0.45224137931034486,0.19673112412289323
0.0,0.34711010067252385,0.05,0.0,0.0011,0.0010238962713629007,0.02904169500129966,0.19979166666666656,0.197476813596841
0.04,0.25862706044818173,0.013999999999999999,0.01,0.010550000000000006,0.013438916765153408,0.07732463939171541,0.24894736842105297,0.10445780734774823
0.0,0.5698199628361844,0.316,0.0,0.0009,0.26499664783477783,0.024540451631420664,0.1788617886178862,0.38729600385256147
0.12,0.27150436640874026,0.11000000000000001,0.09,0.12860000000000016,0.1319102793931961,0.11999511813263773,0.21090566037735847,0.01784272925927094
0.55,0.6113323137057747,0.548,0.27,0.5388999999999995,0.5237667560577393,0.6360008977876426,0.6199026763990253,0.523052079739545
0.48,0.6064405743943831,0.32399999999999995,0.54,0.5176999999999997,0.52664715051651,0.4723971055559965,0.5447368421052632,0.44761766855540697
0.32,0.39966065191320976,0.516,0.65,0.4394999999999996,0.3968093991279602,0.3560679201767589,0.5412820512820512,0.26571272937302415
0.05,0.011341711864510107,0.046,0.05000000000000001,0.05199999999999992,0.058614932000637054,0.040524553749364915,0.21090566037735847,-0.005063610613103786
0.76,0.40361928572887995,0.404,0.48,0.4284999999999998,0.4791049361228943,0.5177837749545894,0.5500473933649288,0.4645685260859061
0.8,0.6942738971766144,0.7419999999999999,0.77,0.7388000000000006,0.7968218326568604,0.6946095900637527,0.6437662337662335,0.7657350077277651
0.95,0.6867340280266512,0.9359999999999999,0.9,0.9440000000000007,0.9443510174751282,0.8753353136690556,0.6598697916666675,0.9944332012095205
0.99,0.857849515551317,0.9979999999999999,0.99,0.9769999999999992,1.0118287801742554,0.9705083434251444,0.8005737704918031,1.0985345203612347
0.87,0.7112598688574157,0.8719999999999999,0.71,0.8108999999999998,0.7982413172721863,0.8288909312321353,0.7560543130990447,0.8558835945921297
0.33,0.317575803074021,0.29,0.29,0.29029999999999956,0.2616312503814697,0.292492794303327,0.34016129032258063,0.2446799742799911
0.07,0.06892303120651966,0.094,0.04,0.07759999999999995,0.07439924031496048,0.022910816172933914,0.20609589041095885,-0.023870529681475516
0.03,0.266796039760561,0.014000000000000002,0.01,0.025199999999999997,0.013506866060197353,0.07738387682233537,0.2055276381909547,-0.015755636089025915
0.93,0.5878917091197324,0.866,0.91,0.8968999999999987,0.9585197567939758,0.7637488475025621,0.7048732394366186,0.7956209003476633
0.59,0.39444446169255404,0.564,0.56,0.546453333333334,0.5512376427650452,0.3969210466552,0.40431211498973313,0.45993157822886527
